Community #,Linear,NegativeB,crime_rate
1,0.0563575958,0.0738893334,0.0697498582
2,0.0783885838,0.0630601154,0.0519679231
3,0.0761041583,0.0728283249,0.0674576325
4,0.0650698665,0.0684141386,0.0497375151
5,0.1012405584,0.0755781424,0.0539896536
6,-0.0275861117,0.0564513247,0.0720545894
7,0.0109244613,0.0410429335,0.069636194
8,0.2588862215,0.1509247227,0.1387839749
9,0.0411638664,0.0418475876,0.0264677147
10,0.0365833809,0.0407584982,0.032815337
11,0.0758398458,0.05532337,0.0517034688
12,0.0425481627,0.0451527373,0.0243875585
13,0.0468759206,0.0503992699,0.0495300853
14,0.1435826716,0.1236877857,0.0119503946
15,0.0589619307,0.047467409,0.0608050199
16,0.0376512005,0.0606358502,0.0595126443
17,0.0122817821,0.0355424601,0.0434019543
18,0.0600274313,0.057552638,0.0501344299
19,0.0481017773,0.0547998761,0.0730190418
20,0.0928879266,0.0862416498,0.0730266092
21,0.0814388517,0.0769992516,0.0619966112
22,0.110905331,0.1292297238,0.0707731367
23,0.1196103132,0.1089483773,0.1557810317
24,0.1191619003,0.095844952,0.0938754503
25,0.1281574533,0.1135969383,0.1720966246
26,0.2029245144,0.2053195931,0.2898909596
27,0.1865697951,0.1935577042,0.3003208659
28,0.1636655225,0.1955856668,0.1832223874
29,0.1873467649,0.1898172024,0.2201446083
30,0.0594279351,0.0760177309,0.0560551657
31,0.1099875173,0.0898772351,0.0698825827
32,0.1964962286,0.2210174217,0.4747376129
33,0.195413717,0.1346275092,0.1905563151
34,0.0827933319,0.0810028941,0.1074634309
35,0.1423571837,0.1306589196,0.105326785
36,0.2275691223,0.2294776449,0.1165302782
37,0.2030961759,0.2184857722,0.314619883
38,0.2389893991,0.2733185444,0.142648004
39,0.1568537556,0.1468391575,0.0868594456
40,0.2299740574,0.257731111,0.2383005797
41,0.0711411639,0.0714170168,0.0556818182
42,0.1503211787,0.1353369599,0.1751458318
43,0.1702561207,0.1715516278,0.1717947885
44,0.1869348393,0.1844747486,0.191898055
45,0.1757349741,0.1818708391,0.1471247869
46,0.1324667061,0.1239087306,0.1509482848
47,0.1569191991,0.1585435895,0.1429872495
48,0.1708663338,0.1767640312,0.1011643921
49,0.1739935679,0.1862913175,0.1546383931
50,0.1495840133,0.1393848937,0.1285730299
51,0.1056072148,0.0964267463,0.1287227781
52,-0.0158995587,0.0411449348,0.0633746248
53,0.1469077541,0.1469549176,0.1406041093
54,0.2115990666,0.1932053626,0.1524110511
55,0.015850422,0.0406591679,0.0729986709
56,0.1063286812,0.0787498342,0.0583363342
57,0.0571323871,0.0555727148,0.0949066751
58,0.0662760409,0.0660475276,0.064481653
59,0.0720412391,0.0685380026,0.080002506
60,0.0626073654,0.0647226355,0.0561821096
61,0.09911775,0.0880094716,0.1160070378
62,0.0561074327,0.0554088829,0.0812134916
63,0.0741453056,0.0738781664,0.0720791978
64,0.0419147598,0.0491256937,0.049885809
65,0.0583610452,0.0552610163,0.0769283393
66,0.1082966301,0.099757284,0.1187552921
67,0.1774651227,0.1770569686,0.1990194779
68,0.2005245368,0.2128757828,0.2036447715
69,0.1773207876,0.1908985552,0.1998757088
70,0.0899729736,0.0790616403,0.0710640663
71,0.1406839521,0.1457173717,0.1534115291
72,0.0692258825,0.0590587631,0.0464259731
73,0.1552523331,0.155715351,0.1307509299
74,0.0407477172,0.0425207893,0.0332624867
75,0.1347584571,0.1103316195,0.0987076825
76,0.058040685,0.0399025604,0.175059558
77,0.0913378181,0.0856314615,0.0436187659
